task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,prefill,v,23,0,bucketfirst,relative_candidate_benefit,28,-19.16392175851772,-74.73853526461075,0.8158217564165201,24.21943246843342
dureader,prefill,v,23,0,bucketlast,relative_candidate_benefit,34,0.6071388802769553,-0.4124477188312733,0.8578374532750472,0.22884796775222502
dureader,prefill,v,23,0,bucketmiddle,relative_candidate_benefit,34,0.6038907894696723,0.11998761818181415,0.8700700535945317,0.1901035339479906
dureader,prefill,v,23,1,bucketfirst,relative_candidate_benefit,27,-19.56348693320086,-191.51178158929534,0.4713637398897197,37.35060990792098
dureader,prefill,v,23,1,bucketlast,relative_candidate_benefit,34,0.36457698706140584,-0.19157079031204807,0.8311311527726661,0.3025339357058962
dureader,prefill,v,23,1,bucketmiddle,relative_candidate_benefit,35,0.26976874052878486,-0.1352955896586972,0.8140254859189083,0.24937447626627107
dureader,prefill,v,23,2,bucketfirst,relative_candidate_benefit,35,-7.886645090531282,-37.007813511350165,0.8017540405137988,12.142600062389068
dureader,prefill,v,23,2,bucketlast,relative_candidate_benefit,34,0.49696384897356866,-0.06846638917239396,0.9037965865749782,0.23997355585291705
dureader,prefill,v,23,2,bucketmiddle,relative_candidate_benefit,27,0.5257227093805196,-0.10587421075984876,0.79439465602843,0.2597026262404627
dureader,prefill,v,23,3,bucketfirst,relative_candidate_benefit,34,-32.496890451559295,-121.21098820598387,0.86645324182627,45.821632059814945
dureader,prefill,v,23,3,bucketlast,relative_candidate_benefit,30,0.18407220543067812,-0.26277233002181954,0.8071334612325439,0.2449857553555064
dureader,prefill,v,23,3,bucketmiddle,relative_candidate_benefit,32,0.177668089845975,-0.6289647653208309,0.6738961804013832,0.2604237824271881
dureader,prefill,v,23,4,bucketfirst,relative_candidate_benefit,28,-18.7078465044641,-72.94066575811017,0.9076212344846408,23.461326605954216
dureader,prefill,v,23,4,bucketlast,relative_candidate_benefit,35,0.3312271078580024,-0.26309867586829727,0.9208819542664282,0.27606769830140787
dureader,prefill,v,23,4,bucketmiddle,relative_candidate_benefit,33,0.38158642594000797,-0.011829577318437777,0.7289327306899807,0.2182696387528698
dureader,prefill,v,23,5,bucketfirst,relative_candidate_benefit,35,-21.636650468180182,-119.94303547887095,0.8329921873953243,33.34923468848622
dureader,prefill,v,23,5,bucketlast,relative_candidate_benefit,31,0.16649510969592143,-0.35367162514314615,0.9458353106846448,0.24288575917853328
dureader,prefill,v,23,5,bucketmiddle,relative_candidate_benefit,30,0.11960366845274346,-0.438041589921528,0.6279316039499676,0.21066988775775117
dureader,prefill,v,23,6,bucketfirst,relative_candidate_benefit,36,-10.019454040723499,-54.378793080880016,0.5146446627857277,15.316177596967242
dureader,prefill,v,23,6,bucketlast,relative_candidate_benefit,31,0.20806674476542691,-0.46485704398124295,0.6984548562999886,0.21538452016212192
dureader,prefill,v,23,6,bucketmiddle,relative_candidate_benefit,29,0.2313905267351677,-0.506759492175405,0.8755930124046479,0.2639110292870712
dureader,prefill,v,23,7,bucketfirst,relative_candidate_benefit,35,-8.157728897781556,-79.56718606564058,0.844512459491521,16.421660943767034
dureader,prefill,v,23,7,bucketlast,relative_candidate_benefit,28,0.5317046226590423,-0.41103679210768135,0.844894395230749,0.30125402626910736
dureader,prefill,v,23,7,bucketmiddle,relative_candidate_benefit,33,0.656635196661447,0.050143503571773024,0.9227734219680235,0.19905487060037824
dureader,prefill,v,24,0,bucketfirst,relative_candidate_benefit,29,-6.904975359459162,-37.26330954122353,0.8962725667483958,10.172854505900709
dureader,prefill,v,24,0,bucketlast,relative_candidate_benefit,36,0.7494584115894593,0.004270282900555158,0.9437041950930677,0.18025493941052526
dureader,prefill,v,24,0,bucketmiddle,relative_candidate_benefit,31,0.683638334766078,0.08469536293073673,0.9267862559038096,0.21451414977422278
dureader,prefill,v,24,1,bucketfirst,relative_candidate_benefit,29,-64.48169836270345,-223.08114869162182,0.784703368152428,82.0937706903076
dureader,prefill,v,24,1,bucketlast,relative_candidate_benefit,38,0.3252029886823282,-0.25652555175759056,0.835252402063053,0.2256103030295483
dureader,prefill,v,24,1,bucketmiddle,relative_candidate_benefit,29,0.40973504951838086,-0.5018729790177093,0.8392671828437893,0.26499121766406897
