component,calls,calls_per_generated_token,total_us,mean_us,percent_decode_time,tokens,bytes,context_tokens,decode_tokens,backend,profile_on_tpot_ms,profile_on_shares_approximate
mixed_v_output_reduce,4096,32.0,17422.335897106677,4.25349997487956,0.09194155552208036,0,0,32768,128,fixed_capacity,148.0418711900711,True
mixed_v_v2_compute,4096,32.0,1482161.1510813236,361.8557497757138,7.821695240501289,100224000,0,32768,128,fixed_capacity,148.0418711900711,True
mixed_v_v4_compute,4096,32.0,615762.9525512457,150.33275208770647,3.2495185504850927,33408000,0,32768,128,fixed_capacity,148.0418711900711,True
output_projection,4096,32.0,401646.59989625216,98.05825192779594,2.119578762727717,0,0,32768,128,fixed_capacity,148.0418711900711,True
pack_k,32,0.25,10735.616117715836,335.48800367861986,0.05665424264461749,4096,0,32768,128,fixed_capacity,148.0418711900711,True
pack_total,32,0.25,46705.66415786743,1459.5520049333572,0.2464762153437383,4096,0,32768,128,fixed_capacity,148.0418711900711,True
pack_v2,32,0.25,10245.119988918304,320.159999653697,0.05406578508499181,3072,0,32768,128,fixed_capacity,148.0418711900711,True
pack_v4,32,0.25,9757.696002721786,304.9280000850558,0.05149353990763168,1024,0,32768,128,fixed_capacity,148.0418711900711,True
pack_window,32,0.25,276623.3606338501,8644.480019807816,1.4598032216016033,4096,0,32768,128,fixed_capacity,148.0418711900711,True
pattern_assignment,32,0.25,16694.272130727768,521.6960040852427,0.08809940050937291,4096,0,32768,128,fixed_capacity,148.0418711900711,True
qk_fp16_regions,12256,95.75,703273.9528827369,57.38201312685516,3.7113336333355376,849920,0,32768,128,fixed_capacity,148.0418711900711,True
qk_quantized_history,4096,32.0,1427048.4465956688,348.4004996571457,7.530853196738297,0,0,32768,128,fixed_capacity,148.0418711900711,True
rope_position,4096,32.0,1099654.4318012893,268.47032026398665,5.803121900166687,0,0,32768,128,fixed_capacity,148.0418711900711,True
selector_gain,32,0.25,40741.88804626465,1273.1840014457703,0.21500403757581665,4096,0,32768,128,fixed_capacity,148.0418711900711,True
selector_score,32,0.25,2477.0560413599014,77.40800129249692,0.01307197765575266,4096,0,32768,128,fixed_capacity,148.0418711900711,True
selector_topk,32,0.25,113640.44785499573,3551.2639954686165,0.599706010016103,4096,0,32768,128,fixed_capacity,148.0418711900711,True
selector_total,32,0.25,162893.82410049438,5090.4320031404495,0.8596270707435262,4096,0,32768,128,fixed_capacity,148.0418711900711,True
value_fp16_tail,12256,95.75,1323556.861740537,107.99256378431275,6.984705002189576,849920,0,32768,128,fixed_capacity,148.0418711900711,True
attention_score_concat,4096,32.0,237708.2908283919,58.03425069052537,1.295132377404814,134481920,0,32768,128,chunked_capacity,143.39044058322906,True
attention_softmax,4096,32.0,188066.81759655476,45.914750389783876,1.024665247206814,134481920,0,32768,128,chunked_capacity,143.39044058322906,True
cache_append,4096,32.0,2626561.474829912,641.2503600658965,14.31058544673215,0,0,32768,128,chunked_capacity,143.39044058322906,True
cache_cat_events,16384,128.0,0.0,0.0,0.0,0,3613917184,32768,128,chunked_capacity,143.39044058322906,True
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,9400320,32768,128,chunked_capacity,143.39044058322906,True
cache_mutation,16384,128.0,514964.67494033277,31.43094939821367,2.805739006455008,0,3613917184,32768,128,chunked_capacity,143.39044058322906,True
centroid_update,32,0.25,5412.863984704018,169.15199952200055,0.029491505646050815,4096,0,32768,128,chunked_capacity,143.39044058322906,True
decode_decoder_model_forward,128,1.0,18200373.19946289,142190.41562080383,99.1631067192874,0,0,32768,128,chunked_capacity,143.39044058322906,True
decode_lm_head,128,1.0,152642.56262779236,1192.5200205296278,0.8316593600515827,0,0,32768,128,chunked_capacity,143.39044058322906,True
importance_update,4096,32.0,592130.0483942032,144.563000096241,3.226167647064731,134481920,0,32768,128,chunked_capacity,143.39044058322906,True
mixed_v_fused_attention,4096,32.0,4061122.5578188896,991.4849994675023,22.12666329352985,0,0,32768,128,chunked_capacity,143.39044058322906,True
mixed_v_kernel_launches,8192,64.0,0.0,0.0,0.0,0,0,32768,128,chunked_capacity,143.39044058322906,True
mixed_v_layout_prepare_v2,4096,32.0,375992.92796850204,91.79514842981007,2.0485638636760597,100224000,0,32768,128,chunked_capacity,143.39044058322906,True
mixed_v_layout_prepare_v4,4096,32.0,305982.46943950653,74.70275132800452,1.667118137564141,33408000,0,32768,128,chunked_capacity,143.39044058322906,True
mixed_v_mapping_prepare,4096,32.0,552700.6083652377,134.93667196416936,3.011339867072317,133632000,0,32768,128,chunked_capacity,143.39044058322906,True
mixed_v_output_reduce,4096,32.0,17741.823849268258,4.331499963200258,0.09666474156759083,0,0,32768,128,chunked_capacity,143.39044058322906,True
mixed_v_v2_compute,4096,32.0,1478463.4908735752,360.95300070155645,8.055276192380116,100224000,0,32768,128,chunked_capacity,143.39044058322906,True
mixed_v_v4_compute,4096,32.0,612424.7117191553,149.5177518845594,3.336741306355609,33408000,0,32768,128,chunked_capacity,143.39044058322906,True
output_projection,4096,32.0,393516.0411372781,96.07325223078078,2.1440369796482512,0,0,32768,128,chunked_capacity,143.39044058322906,True
pack_k,32,0.25,10444.800049066544,326.4000015333295,0.05690755956354618,4096,0,32768,128,chunked_capacity,143.39044058322906,True
pack_total,32,0.25,44953.60016822815,1404.8000052571297,0.24492567278948632,4096,0,32768,128,chunked_capacity,143.39044058322906,True
pack_v2,32,0.25,9926.655948162079,310.20799838006496,0.054084497738886725,3072,0,32768,128,chunked_capacity,143.39044058322906,True
pack_v4,32,0.25,9348.09598326683,292.12799947708845,0.050932265478940114,1024,0,32768,128,chunked_capacity,143.39044058322906,True
pack_window,32,0.25,266609.6639633179,8331.551998853683,1.4525989258708194,4096,0,32768,128,chunked_capacity,143.39044058322906,True
pattern_assignment,32,0.25,16155.647933483124,504.8639979213476,0.08802260385487588,4096,0,32768,128,chunked_capacity,143.39044058322906,True
qk_fp16_regions,12256,95.75,645135.136641562,52.6383107573076,3.5149611330517767,849920,0,32768,128,chunked_capacity,143.39044058322906,True
qk_quantized_history,4096,32.0,1414133.759856224,345.24749996489845,7.704781402400485,0,0,32768,128,chunked_capacity,143.39044058322906,True
rope_position,4096,32.0,967129.0910989046,236.1155007565685,5.269316415709449,0,0,32768,128,chunked_capacity,143.39044058322906,True
selector_gain,32,0.25,38365.18383026123,1198.9119946956635,0.20902927521165035,4096,0,32768,128,chunked_capacity,143.39044058322906,True
selector_score,32,0.25,2384.8960623145103,74.52800194732845,0.012993893045483334,4096,0,32768,128,chunked_capacity,143.39044058322906,True
selector_topk,32,0.25,110886.91210746765,3465.216003358364,0.6041574301020133,4096,0,32768,128,chunked_capacity,143.39044058322906,True
selector_total,32,0.25,157356.03094100952,4917.375966906548,0.8573402708900114,4096,0,32768,128,chunked_capacity,143.39044058322906,True
value_fp16_tail,12256,95.75,1281221.1506664753,104.53827926456228,6.980618930291894,849920,0,32768,128,chunked_capacity,143.39044058322906,True
attention_score_concat,16384,32.0,968950.7944453508,59.140063137533616,1.2177717393743988,541073408,0,32768,512,baseline,155.40531605482101,True
attention_softmax,16384,32.0,767687.8144368529,46.855945705374324,0.964825593252583,541073408,0,32768,512,baseline,155.40531605482101,True
cache_append,16384,32.0,10444526.243835688,637.4832912497368,13.126620013948191,0,0,32768,512,baseline,155.40531605482101,True
cache_cat_events,66688,130.25,0.0,0.0,0.0,0,16417955840,32768,512,baseline,155.40531605482101,True
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,9510912,32768,512,baseline,155.40531605482101,True
cache_mutation,66688,130.25,2128773.163082078,31.921382603797955,2.675429766300907,0,16417955840,32768,512,baseline,155.40531605482101,True
centroid_update,128,0.25,21243.903934955597,165.9679994918406,0.026699215269008796,16384,0,32768,512,baseline,155.40531605482101,True
decode_decoder_model_forward,512,1.0,78953291.87011719,154205.64818382263,99.22803936090887,0,0,32768,512,baseline,155.40531605482101,True
decode_lm_head,512,1.0,610579.4664621353,1192.538020433858,0.7673727326117831,0,0,32768,512,baseline,155.40531605482101,True
importance_update,16384,32.0,2426615.8162504435,148.1088755035671,3.049756685570679,541073408,0,32768,512,baseline,155.40531605482101,True
mixed_v_fused_attention,16384,32.0,21013136.39509678,1282.5400631772936,26.409187963168268,0,0,32768,512,baseline,155.40531605482101,True
