task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std,min,max
dureader,decode,k,13,2,bucketfirst,relative_mse_gain,11,-0.017477553387890213,0.023492420774175512,,
dureader,decode,k,13,2,bucketfirst,relative_range_gain,11,0.016399182766902876,0.027744351109193023,,
dureader,decode,k,13,3,bucketfirst,relative_mse_gain,11,-0.030992943232104622,0.016978694253188844,,
dureader,decode,k,13,3,bucketfirst,relative_range_gain,11,0.020933744656620182,0.037841744597813524,,
dureader,decode,k,13,4,bucketfirst,relative_mse_gain,11,-0.010144392446158041,0.026282202182186437,,
dureader,decode,k,13,4,bucketfirst,relative_range_gain,11,0.02620435318204898,0.02655750633232675,,
dureader,decode,k,13,5,bucketfirst,relative_mse_gain,11,-0.007673343516237613,0.03237580135196885,,
dureader,decode,k,13,5,bucketfirst,relative_range_gain,11,0.058076293466395985,0.044087241329196725,,
dureader,decode,k,13,6,bucketfirst,relative_mse_gain,11,-0.011579735602205104,0.02307702138371251,,
dureader,decode,k,13,6,bucketfirst,relative_range_gain,11,0.05496922369199655,0.04219227978848207,,
dureader,decode,k,13,7,bucketfirst,relative_mse_gain,11,-0.0020660549970936953,0.04205309538639648,,
dureader,decode,k,13,7,bucketfirst,relative_range_gain,11,0.09359578491407448,0.053891266374569625,,
dureader,decode,k,14,0,bucketfirst,relative_mse_gain,11,-0.0037993170918705003,0.02060026942841602,,
dureader,decode,k,14,0,bucketfirst,relative_range_gain,11,0.059761810021614264,0.04462738663268942,,
dureader,decode,k,14,1,bucketfirst,relative_mse_gain,11,-0.019011063367422976,0.023391428699560575,,
dureader,decode,k,14,1,bucketfirst,relative_range_gain,11,0.04824213175510545,0.07637837252339878,,
dureader,decode,k,14,2,bucketfirst,relative_mse_gain,11,-0.008762120151292383,0.015723520167216724,,
dureader,decode,k,14,2,bucketfirst,relative_range_gain,11,0.027500753533202048,0.02934492281090246,,
dureader,decode,k,14,3,bucketfirst,relative_mse_gain,11,-0.031656421809274284,0.016078300928850077,,
dureader,decode,k,14,3,bucketfirst,relative_range_gain,11,0.007738570572555783,0.02967038177510948,,
dureader,decode,k,14,4,bucketfirst,relative_mse_gain,11,-0.007316672612146021,0.01960649983928907,,
dureader,decode,k,14,4,bucketfirst,relative_range_gain,11,0.058133928134492856,0.06219686826445699,,
dureader,decode,k,14,5,bucketfirst,relative_mse_gain,11,-0.01968236786319328,0.029510917613444747,,
dureader,decode,k,14,5,bucketfirst,relative_range_gain,11,0.016588318900936636,0.03223550955104684,,
dureader,decode,k,14,6,bucketfirst,relative_mse_gain,11,-0.01795635179490296,0.015678336742958876,,
dureader,decode,k,14,6,bucketfirst,relative_range_gain,11,0.04545640535039588,0.05578208839250271,,
dureader,decode,k,14,7,bucketfirst,relative_mse_gain,11,-0.020669988957000777,0.03406721248493615,,
dureader,decode,k,14,7,bucketfirst,relative_range_gain,11,0.007223935618543679,0.028521470142389534,,
dureader,decode,k,15,0,bucketfirst,relative_mse_gain,11,0.0024784261549548317,0.02431755700927348,,
dureader,decode,k,15,0,bucketfirst,relative_range_gain,11,0.032268347506780565,0.03228239103071642,,
dureader,decode,k,15,1,bucketfirst,relative_mse_gain,11,-0.0011591093131197903,0.03959726693416144,,
dureader,decode,k,15,1,bucketfirst,relative_range_gain,11,0.0865774165631584,0.05912953946046722,,
dureader,decode,k,15,2,bucketfirst,relative_mse_gain,11,-0.0009672112679406628,0.04467857301356453,,
dureader,decode,k,15,2,bucketfirst,relative_range_gain,11,0.05886312689644828,0.06713707678293462,,
dureader,decode,k,15,3,bucketfirst,relative_mse_gain,11,-0.01920710582600865,0.022930594256708056,,
dureader,decode,k,15,3,bucketfirst,relative_range_gain,11,0.03152902790220982,0.052084623516823865,,
dureader,decode,k,15,4,bucketfirst,relative_mse_gain,11,-0.03057760432722961,0.03116305059025613,,
dureader,decode,k,15,4,bucketfirst,relative_range_gain,11,0.042195639716448324,0.07173959044217715,,
dureader,decode,k,15,5,bucketfirst,relative_mse_gain,11,-0.020004128141312676,0.026545547881048067,,
dureader,decode,k,15,5,bucketfirst,relative_range_gain,11,0.04421496028275765,0.052277261962880475,,
dureader,decode,k,15,6,bucketfirst,relative_mse_gain,11,-0.014837419022291954,0.03524769682222825,,
dureader,decode,k,15,6,bucketfirst,relative_range_gain,11,0.05575913461652811,0.05501114533437957,,
dureader,decode,k,15,7,bucketfirst,relative_mse_gain,11,0.028336341313831795,0.03310487322682346,,
dureader,decode,k,15,7,bucketfirst,relative_range_gain,11,0.05617760011961345,0.056110924749767574,,
dureader,decode,k,16,0,bucketfirst,relative_mse_gain,11,0.004815904869877091,0.02007501706454546,,
dureader,decode,k,16,0,bucketfirst,relative_range_gain,11,0.04354630308352727,0.04250130803280249,,
dureader,decode,k,16,1,bucketfirst,relative_mse_gain,11,0.008577723385158508,0.019670682577877,,
dureader,decode,k,16,1,bucketfirst,relative_range_gain,11,0.09436998316886501,0.056653735206057154,,
dureader,decode,k,16,2,bucketfirst,relative_mse_gain,11,-0.021799597751907776,0.018592936348381633,,
dureader,decode,k,16,2,bucketfirst,relative_range_gain,11,0.049231094836285384,0.06286739862166926,,
dureader,decode,k,16,3,bucketfirst,relative_mse_gain,11,-0.030153044523338775,0.02062086355041292,,
dureader,decode,k,16,3,bucketfirst,relative_range_gain,11,0.0933712774265445,0.04653317433651519,,
dureader,decode,k,16,4,bucketfirst,relative_mse_gain,11,-0.016845191337971962,0.02434951296088251,,
dureader,decode,k,16,4,bucketfirst,relative_range_gain,11,0.016967730903348268,0.05117761055520823,,
